frame,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y,plant_foot_x,plant_foot_y,ball_pos_x,ball_pos_y,knee_angle,plant_foot_distance
42,576.7135047912598,356.9256842136383,730.2656364440918,542.5104188919067,540.3542518615723,747.0314741134644,638.1998062133789,365.2190852165222,755.1444053649902,546.5920543670654,797.9450798034668,789.9132370948792,756.0,818.0,97.51701903240095,6.610509356791324
43,578.049201965332,357.00650453567505,736.5560531616211,536.5395963191986,549.8647499084473,748.1330251693726,639.2078018188477,365.22008299827576,755.3203582763672,543.1446862220764,797.9761505126953,789.869270324707,756.0,818.0,97.13690987303269,6.617094123722594
44,580.103931427002,357.2607135772705,740.5365371704102,538.4135591983795,559.9903678894043,752.0478057861328,640.8609580993652,365.04321813583374,756.137523651123,541.2215423583984,798.0437278747559,789.7120714187622,756.0,818.0,98.269495093387,6.635916719107441
45,582.1606063842773,357.2672152519226,740.6710624694824,537.4379861354828,574.7367095947266,754.8307156562805,641.0402870178223,364.2668151855469,756.2262153625488,539.4332921504974,797.9621315002441,789.5963287353516,756.0,818.0,101.30511921538526,6.715484449802113
46,583.3967399597168,357.26006984710693,740.1249504089355,538.0468261241913,576.7799949645996,755.7744240760803,640.9308815002441,363.21489572525024,756.4000511169434,538.0069470405579,797.9939460754395,789.4163417816162,756.0,818.0,102.19903576918863,6.7323697051204014
47,584.3874549865723,357.3900067806244,743.0718040466309,520.3199458122253,589.89990234375,758.0556750297546,641.2113761901855,362.65111684799194,756.4431381225586,534.9426305294037,798.2396507263184,789.3076157569885,756.0,816.0,102.96283637106725,6.622093250059615
48,585.9444808959961,356.925265789032,742.6900291442871,517.5169193744659,600.8316421508789,762.9698467254639,641.1284065246582,359.5180821418762,756.7699813842773,530.382091999054,798.0005836486816,788.6826825141907,760.0,818.0,105.66882026043477,6.1389345738790135
49,589.4029998779297,356.33943915367126,745.2029800415039,515.7430565357208,615.3167724609375,768.3287072181702,638.466739654541,357.25520968437195,756.8484878540039,528.4645485877991,797.8558731079102,788.0605816841125,760.0,818.0,108.44159509087416,6.173331744667037
50,591.6846084594727,355.3429126739502,749.187068939209,516.1570394039154,630.8983039855957,772.2908663749695,636.2884712219238,354.76226806640625,756.9503974914551,526.3464510440826,795.4887199401855,787.46506690979,758.0,820.0,110.80743658842185,6.4237345934318215
51,592.8812026977539,354.64089274406433,750.7027244567871,515.6646823883057,632.8169631958008,775.1233434677124,635.434741973877,353.3267819881439,757.126522064209,525.4809558391571,795.1433944702148,786.9779562950134,756.0,816.0,111.14061643161232,6.5367742797517225
52,593.0278587341309,352.4316430091858,753.0874443054199,513.9709961414337,657.0364952087402,777.1095085144043,635.8835220336914,349.90126848220825,757.9482650756836,523.8608479499817,794.0365219116211,785.9295129776001,758.0,818.0,115.21051402145058,6.317209974415838
53,597.1853828430176,350.6685948371887,759.3819236755371,512.4625110626221,674.9315643310547,774.6178865432739,636.3510704040527,348.1156897544861,758.814754486084,523.5086631774902,791.1517524719238,782.5321626663208,756.0,822.0,117.07304609313094,6.6824630746823175
54,596.8921279907227,350.33778190612793,762.2967338562012,510.36659002304077,688.0673789978027,774.2370557785034,639.6687698364258,347.7567458152771,761.3924789428711,523.861620426178,790.920581817627,782.363440990448,760.0,812.0,118.34180927390494,5.889123571173569
55,596.4395141601562,350.04987359046936,762.3914337158203,505.6156361103058,696.9756889343262,775.7114553451538,644.9678993225098,347.6898944377899,767.8427696228027,523.6607122421265,791.477108001709,781.9391584396362,766.0,814.0,119.53522111622755,5.630756108147641
56,596.1810493469238,349.64152336120605,762.8683090209961,505.0120425224304,698.8974380493164,776.5530037879944,646.4447593688965,347.31550097465515,770.3274536132812,523.7527978420258,792.3181343078613,782.0968079566956,766.0,814.0,119.73123047149006,5.686681267661603
